symbol,date,direction,gap_pct,entry_time,entry_price,stop_price,target_r1,target_r2,shares,risk_dollars,ema_level,candles_to_entry,exit_reason,exit_price,exit_time,pnl,r_multiple,held_candles,hit_r1,logged_at,strategy
AMD,2025-09-10,LONG,5.0,2025-09-10 10:00:00-04:00,160.57,158.89,163.1,165.63,148,249.24,EMA9,6,EOD,161.1199951171875,2025-09-10 11:30:00-04:00,80.66,0.32,18,False,2025-11-28T22:02:13.393845,FPB
AMD,2025-11-04,SHORT,-3.59,2025-11-04 10:00:00-05:00,255.46,256.25,254.27,253.08,316,249.92,EMA9,6,STOP_BE,255.37432725275576,2025-11-04 10:15:00-05:00,200.19,0.8,3,True,2025-11-28T22:02:13.485434,FPB
AMD,2025-11-20,LONG,4.07,2025-11-20 10:00:00-05:00,230.69,228.54,233.92,237.15,116,249.91,EMA9,6,STOP,228.53562962835042,2025-11-20 10:05:00-05:00,-249.91,-1.0,1,False,2025-11-28T22:02:13.516254,FPB
TSLA,2025-10-23,SHORT,-4.27,2025-10-23 09:55:00-04:00,422.44,425.88,417.29,412.14,72,247.31,EMA9,5,STOP,425.87919451968367,2025-10-23 10:15:00-04:00,-247.31,-1.0,4,False,2025-11-28T22:02:13.946056,FPB
TSLA,2025-11-14,SHORT,-3.9,2025-11-14 10:00:00-05:00,394.36,398.98,387.44,380.52,54,249.13,EMA9,6,STOP,398.9785665588379,2025-11-14 10:25:00-05:00,-249.13,-1.0,5,False,2025-11-28T22:02:13.985262,FPB
COIN,2025-10-17,SHORT,-3.33,2025-10-17 09:55:00-04:00,326.98,329.03,323.91,320.83,122,249.94,EMA9,5,STOP,329.0287122192383,2025-10-17 10:10:00-04:00,-249.94,-1.0,3,False,2025-11-28T22:02:14.933619,FPB
COIN,2025-11-04,SHORT,-3.62,2025-11-04 09:55:00-05:00,323.02,324.41,320.94,318.86,179,248.65,EMA9,5,STOP_BE,322.8753774442522,2025-11-04 10:15:00-05:00,198.91,0.8,4,True,2025-11-28T22:02:14.962676,FPB
COIN,2025-11-10,LONG,4.46,2025-11-10 10:00:00-05:00,316.42,314.27,319.66,322.9,115,248.34,EMA9,6,STOP_BE,316.42498779296875,2025-11-10 10:15:00-05:00,184.63,0.74,3,True,2025-11-28T22:02:14.973461,FPB
COIN,2025-11-14,SHORT,-4.91,2025-11-14 10:00:00-05:00,280.04,282.64,276.12,272.21,95,247.7,EMA9,6,STOP,282.64234533691405,2025-11-14 10:10:00-05:00,-247.7,-1.0,2,False,2025-11-28T22:02:14.984026,FPB
COIN,2025-11-17,SHORT,-3.24,2025-11-17 09:55:00-05:00,275.08,277.67,271.18,267.28,96,249.31,EMA9,5,TARGET_R2,267.2841820064394,2025-11-17 10:30:00-05:00,560.94,2.25,7,True,2025-11-28T22:02:14.987629,FPB
MSTR,2025-10-06,LONG,3.18,2025-10-06 09:45:00-04:00,360.07,355.61,366.77,373.46,55,245.54,EMA9,3,EOD,359.239990234375,2025-10-06 11:30:00-04:00,-45.65,-0.19,21,False,2025-11-28T22:02:15.654931,FPB
MSTR,2025-10-14,SHORT,-4.55,2025-10-14 10:00:00-04:00,304.27,306.05,301.61,298.94,140,248.68,EMA9,6,STOP,306.0462690402415,2025-10-14 10:05:00-04:00,-248.68,-1.0,1,False,2025-11-28T22:02:15.669163,FPB
MSTR,2025-11-04,SHORT,-3.68,2025-11-04 09:55:00-05:00,256.85,258.25,254.75,252.65,178,249.02,EMA9,5,STOP_BE,256.56820275921353,2025-11-04 10:20:00-05:00,211.85,0.85,5,True,2025-11-28T22:02:15.706107,FPB
MSTR,2025-11-07,SHORT,-6.07,2025-11-07 10:00:00-05:00,228.15,229.52,226.1,224.04,182,249.21,EMA9,6,STOP,229.51928327941894,2025-11-07 10:10:00-05:00,-249.21,-1.0,2,False,2025-11-28T22:02:15.714085,FPB
MSTR,2025-11-10,LONG,3.19,2025-11-10 10:00:00-05:00,244.23,242.76,246.44,248.66,169,249.21,EMA9,6,STOP,242.757,2025-11-10 10:10:00-05:00,-249.21,-1.0,2,False,2025-11-28T22:02:15.717598,FPB
MSTR,2025-11-14,SHORT,-3.87,2025-11-14 10:00:00-05:00,198.53,202.6,192.42,186.31,61,248.42,EMA9,6,STOP,202.60239389038085,2025-11-14 10:35:00-05:00,-248.42,-1.0,7,False,2025-11-28T22:02:15.727748,FPB
MSTR,2025-11-20,LONG,3.16,2025-11-20 09:50:00-05:00,187.64,186.86,188.79,189.95,323,249.44,EMA9,4,STOP_BE,187.6352996826172,2025-11-20 10:00:00-05:00,186.5,0.75,2,True,2025-11-28T22:02:15.737851,FPB
MSTR,2025-11-25,SHORT,-3.01,2025-11-25 09:35:00-05:00,175.5,177.35,172.73,169.96,135,249.18,EMA9,1,STOP_BE,174.30820085308866,2025-11-25 10:10:00-05:00,266.54,1.07,7,True,2025-11-28T22:02:15.745627,FPB
