symbol,date,direction,reason,candles,candle
NVDA,2025-11-20,LONG,TOO_MANY_CANDLES,9.0,
NVDA,2025-11-25,SHORT,TOO_MANY_CANDLES,9.0,
AMD,2025-10-06,LONG,TOO_MANY_CANDLES,9.0,
AMD,2025-10-07,LONG,TOO_MANY_CANDLES,9.0,
AMD,2025-11-12,LONG,TOO_MANY_CANDLES,9.0,
AMD,2025-11-20,LONG,TOO_MANY_CANDLES,9.0,
AMD,2025-11-25,SHORT,TOO_MANY_CANDLES,9.0,
TSLA,2025-09-15,LONG,TOO_MANY_CANDLES,9.0,
TSLA,2025-10-23,SHORT,TOO_MANY_CANDLES,9.0,
COIN,2025-10-14,SHORT,TOO_MANY_CANDLES,9.0,
COIN,2025-11-10,LONG,BELOW_VWAP,,6.0
COIN,2025-11-10,LONG,BELOW_VWAP,,7.0
COIN,2025-11-10,LONG,TOO_MANY_CANDLES,9.0,
COIN,2025-11-14,SHORT,BROKE_20EMA,,4.0
MSTR,2025-10-14,SHORT,BROKE_20EMA,,8.0
MSTR,2025-10-31,LONG,TOO_MANY_CANDLES,9.0,
MSTR,2025-11-28,LONG,TOO_MANY_CANDLES,9.0,
PLTR,2025-11-04,SHORT,TOO_MANY_CANDLES,9.0,
PLTR,2025-11-20,LONG,TOO_MANY_CANDLES,9.0,
SOUN,2025-09-25,SHORT,TOO_MANY_CANDLES,9.0,
SOUN,2025-11-04,SHORT,TOO_MANY_CANDLES,9.0,
SOUN,2025-11-10,LONG,BROKE_20EMA,,4.0
SOUN,2025-11-14,SHORT,BROKE_20EMA,,3.0
SOUN,2025-11-20,LONG,TOO_MANY_CANDLES,9.0,
IONQ,2025-09-18,LONG,TOO_MANY_CANDLES,9.0,
IONQ,2025-09-23,LONG,BROKE_20EMA,,2.0
IONQ,2025-10-13,LONG,TOO_MANY_CANDLES,9.0,
IONQ,2025-10-23,LONG,TOO_MANY_CANDLES,9.0,
IONQ,2025-10-24,LONG,TOO_MANY_CANDLES,9.0,
IONQ,2025-10-27,LONG,TOO_MANY_CANDLES,9.0,
IONQ,2025-11-04,SHORT,TOO_MANY_CANDLES,9.0,
IONQ,2025-11-07,SHORT,TOO_MANY_CANDLES,9.0,
IONQ,2025-11-14,SHORT,TOO_MANY_CANDLES,9.0,
RKLB,2025-10-08,LONG,TOO_MANY_CANDLES,9.0,
RKLB,2025-10-10,LONG,TOO_MANY_CANDLES,9.0,
RKLB,2025-10-13,LONG,TOO_MANY_CANDLES,9.0,
RKLB,2025-10-20,LONG,TOO_MANY_CANDLES,9.0,
RKLB,2025-11-04,SHORT,TOO_MANY_CANDLES,9.0,
RKLB,2025-11-10,LONG,BELOW_VWAP,,5.0
RKLB,2025-11-10,LONG,BELOW_VWAP,,6.0
RKLB,2025-11-10,LONG,TOO_MANY_CANDLES,9.0,
RKLB,2025-11-11,LONG,TOO_MANY_CANDLES,9.0,
RKLB,2025-11-20,LONG,BROKE_20EMA,,8.0
