symbol,date,gap_pct,entry_time,direction,entry_price,stop_price,target_r1,target_r2,risk_per_share,shares,pullback_low,ema9,ema20,candles_to_entry,exit_reason,exit_price,pnl,r_multiple,held_candles,hit_r1,strategy
NVDA,2025-09-10,3.45,2025-09-10 10:15:00-04:00,LONG,176.97,176.3,177.99,179.0,0.68,369,176.56,176.51,174.51,9,TARGET_R2,179.0,563.23,2.25,6,True,FPB_V3
NVDA,2025-10-29,3.46,2025-10-29 10:15:00-04:00,LONG,210.32,208.67,212.8,215.28,1.65,151,208.98,209.43,206.84,9,STOP,208.67,-249.15,-1.0,7,False,FPB_V3
NVDA,2025-11-10,3.65,2025-11-10 10:20:00-05:00,LONG,196.48,193.63,200.76,205.03,2.85,87,193.92,194.77,192.36,10,EOD,194.25,-194.01,-0.78,14,False,FPB_V3
NVDA,2025-11-20,4.91,2025-11-20 10:15:00-05:00,LONG,194.09,192.5,196.47,198.85,1.59,157,192.79,193.36,191.2,9,STOP,192.5,-249.63,-1.0,8,False,FPB_V3
NVDA,2025-11-25,-4.19,2025-11-25 10:20:00-05:00,SHORT,170.21,174.26,164.15,158.08,4.05,61,174.0,172.0,174.83,10,STOP,174.26,-247.05,-0.99,12,False,FPB_V3
AMD,2025-09-10,5.0,2025-09-10 10:00:00-04:00,LONG,160.57,158.78,163.27,165.96,1.79,139,159.02,159.17,157.79,6,EOD,161.12,76.45,0.31,18,False,FPB_V3
AMD,2025-09-18,-5.2,2025-09-18 10:10:00-04:00,SHORT,153.62,154.87,151.73,149.85,1.26,199,154.64,154.19,155.48,8,STOP,154.87,-248.75,-0.99,3,False,FPB_V3
AMD,2025-10-07,5.5,2025-10-07 10:05:00-04:00,LONG,214.22,213.11,215.89,217.55,1.11,225,213.43,213.29,211.08,7,TRAIL_STOP,214.22,187.04,0.75,6,True,FPB_V3
AMD,2025-10-24,3.57,2025-10-24 10:15:00-04:00,LONG,249.9,246.88,254.43,258.96,3.02,82,247.25,248.31,244.21,9,EOD,250.85,77.49,0.31,15,False,FPB_V3
AMD,2025-11-04,-3.59,2025-11-04 10:00:00-05:00,SHORT,255.46,256.43,253.99,252.52,0.98,255,256.05,255.27,256.18,6,TRAIL_STOP,255.46,186.69,0.75,3,True,FPB_V3
AMD,2025-11-10,3.73,2025-11-10 10:20:00-05:00,LONG,247.34,241.43,256.21,265.08,5.91,42,241.79,244.81,240.81,10,EOD,243.6,-157.08,-0.63,14,False,FPB_V3
AMD,2025-11-14,-3.28,2025-11-14 10:20:00-05:00,SHORT,244.7,249.27,237.84,230.98,4.57,54,248.9,245.24,245.72,10,STOP,249.27,-246.78,-0.99,5,False,FPB_V3
AMD,2025-11-20,4.07,2025-11-20 10:00:00-05:00,LONG,230.69,228.69,233.7,236.7,2.0,124,229.03,228.76,226.46,6,STOP,228.69,-248.0,-0.99,1,False,FPB_V3
TSLA,2025-10-23,-4.27,2025-10-23 09:55:00-04:00,SHORT,422.44,425.57,417.76,413.08,3.12,80,424.93,425.45,429.39,5,STOP,425.57,-250.4,-1.0,2,False,FPB_V3
TSLA,2025-11-04,-3.0,2025-11-04 10:05:00-05:00,SHORT,456.05,459.11,451.46,446.88,3.06,81,458.42,457.73,461.09,7,STOP,459.11,-247.86,-0.99,1,False,FPB_V3
TSLA,2025-11-14,-3.9,2025-11-14 10:00:00-05:00,SHORT,394.36,399.3,386.97,379.57,4.93,50,398.7,396.09,397.71,6,STOP,399.3,-247.0,-0.99,5,False,FPB_V3
COIN,2025-10-17,-3.33,2025-10-17 09:55:00-04:00,SHORT,326.98,329.19,323.66,320.34,2.21,112,328.7,328.08,330.51,5,STOP,329.19,-247.52,-0.99,3,False,FPB_V3
COIN,2025-11-04,-3.62,2025-11-04 09:55:00-05:00,SHORT,323.02,324.95,320.14,317.26,1.92,130,324.46,323.55,326.19,5,TRAIL_STOP,323.02,187.2,0.75,4,True,FPB_V3
COIN,2025-11-10,4.46,2025-11-10 10:00:00-05:00,LONG,316.42,314.11,319.9,323.38,2.32,107,314.58,315.68,312.96,6,TRAIL_STOP,316.42,184.44,0.74,3,True,FPB_V3
COIN,2025-11-17,-3.24,2025-11-17 09:55:00-05:00,SHORT,275.08,278.25,270.32,265.56,3.17,78,277.83,277.39,280.54,5,TARGET_R2,265.56,556.92,2.23,15,True,FPB_V3
COIN,2025-11-25,-3.2,2025-11-25 10:00:00-05:00,SHORT,242.82,249.41,232.92,223.02,6.6,37,249.04,247.21,250.61,6,EOD,244.82,-74.0,-0.3,18,False,FPB_V3
COIN,2025-11-28,3.29,2025-11-28 10:10:00-05:00,LONG,276.46,270.57,285.3,294.13,5.89,42,270.98,273.83,270.65,8,EOD,273.8,-111.72,-0.45,16,False,FPB_V3
MSTR,2025-10-06,3.18,2025-10-06 09:45:00-04:00,LONG,360.07,356.22,365.84,371.61,3.85,64,356.76,355.96,353.3,3,EOD,359.24,-53.12,-0.21,21,False,FPB_V3
MSTR,2025-10-14,-4.55,2025-10-14 10:00:00-04:00,SHORT,304.27,305.8,301.98,299.69,1.53,163,305.34,305.74,308.25,6,STOP,305.8,-249.39,-1.0,1,False,FPB_V3
MSTR,2025-10-27,3.58,2025-10-27 10:20:00-04:00,LONG,295.74,294.1,298.22,300.69,1.65,151,294.54,295.54,294.07,10,STOP,294.1,-247.64,-0.99,5,False,FPB_V3
MSTR,2025-10-31,6.05,2025-10-31 10:15:00-04:00,LONG,267.24,264.6,271.2,275.15,2.64,94,265.0,266.83,264.55,9,TARGET_R2,275.15,557.89,2.23,15,True,FPB_V3
MSTR,2025-11-04,-3.68,2025-11-04 09:55:00-05:00,SHORT,256.85,257.88,255.31,253.77,1.03,243,257.49,257.99,260.95,5,TRAIL_STOP,256.82,189.45,0.76,5,True,FPB_V3
MSTR,2025-11-07,-6.07,2025-11-07 10:00:00-05:00,SHORT,228.15,230.35,224.86,221.56,2.2,113,230.0,228.97,232.28,6,STOP,230.35,-248.6,-0.99,2,False,FPB_V3
MSTR,2025-11-10,3.19,2025-11-10 10:00:00-05:00,LONG,244.23,242.17,247.33,250.43,2.07,121,242.53,244.12,242.85,6,STOP,242.17,-249.26,-1.0,2,False,FPB_V3
MSTR,2025-11-14,-3.87,2025-11-14 10:00:00-05:00,SHORT,198.53,203.52,191.04,183.55,4.99,50,203.22,201.66,204.69,6,STOP,203.52,-249.5,-1.0,8,False,FPB_V3
MSTR,2025-11-20,3.16,2025-11-20 09:50:00-05:00,LONG,187.64,186.72,189.01,190.38,0.92,272,187.0,187.38,186.49,4,TRAIL_STOP,187.64,186.32,0.75,2,True,FPB_V3
MSTR,2025-11-25,-3.01,2025-11-25 09:40:00-05:00,SHORT,172.62,177.03,166.0,159.38,4.41,56,176.76,176.26,176.81,2,EOD,172.63,-0.56,-0.0,22,False,FPB_V3
MSTR,2025-11-28,4.08,2025-11-28 09:45:00-05:00,LONG,182.2,179.74,185.89,189.58,2.46,101,180.01,179.86,178.98,3,TRAIL_STOP,184.35,294.11,1.18,11,True,FPB_V3
PLTR,2025-11-04,-7.4,2025-11-04 10:05:00-05:00,SHORT,191.85,194.27,188.21,184.57,2.43,103,193.98,193.66,197.75,7,STOP,194.27,-249.26,-1.0,4,False,FPB_V3
PLTR,2025-11-20,4.04,2025-11-20 10:15:00-05:00,LONG,170.96,169.7,172.86,174.76,1.27,197,169.95,171.05,169.43,9,STOP,169.7,-248.22,-0.99,7,False,FPB_V3
SOUN,2025-09-18,3.04,2025-09-18 09:55:00-04:00,LONG,15.15,14.76,15.73,16.31,0.39,645,14.78,15.06,15.02,5,EOD,15.39,155.25,0.62,19,False,FPB_V3
SOUN,2025-09-25,-5.09,2025-09-25 10:10:00-04:00,SHORT,16.55,16.93,15.99,15.42,0.38,666,16.9,16.75,17.08,8,STOP,16.93,-253.08,-1.01,6,False,FPB_V3
SOUN,2025-10-13,3.23,2025-10-13 09:40:00-04:00,LONG,18.27,17.8,18.98,19.69,0.47,529,17.83,17.87,17.83,2,TRAIL_STOP,18.65,289.08,1.16,8,True,FPB_V3
SOUN,2025-10-15,3.84,2025-10-15 09:50:00-04:00,LONG,21.28,20.98,21.73,22.18,0.3,829,21.01,21.19,21.16,4,TRAIL_STOP,21.61,322.19,1.29,16,True,FPB_V3
SOUN,2025-10-17,-3.93,2025-10-17 09:55:00-04:00,SHORT,20.1,20.32,19.77,19.44,0.22,1134,20.29,20.19,20.4,5,STOP,20.32,-249.48,-1.0,1,False,FPB_V3
SOUN,2025-10-20,3.52,2025-10-20 10:20:00-04:00,LONG,19.74,19.29,20.4,21.07,0.44,563,19.32,19.73,19.5,10,EOD,19.37,-208.31,-0.83,14,False,FPB_V3
SOUN,2025-11-10,5.61,2025-11-10 10:00:00-05:00,LONG,14.57,14.22,15.1,15.62,0.35,711,14.24,14.48,14.4,6,STOP,14.22,-248.85,-1.0,7,False,FPB_V3
SOUN,2025-11-20,7.13,2025-11-20 10:15:00-05:00,LONG,12.9,12.39,13.65,14.41,0.5,496,12.41,12.66,12.31,9,STOP,12.39,-252.96,-1.01,12,False,FPB_V3
IONQ,2025-09-18,4.83,2025-09-18 09:50:00-04:00,LONG,68.31,67.07,70.18,72.04,1.24,201,67.17,67.37,66.29,4,TRAIL_STOP,68.65,221.38,0.89,6,True,FPB_V3
IONQ,2025-09-23,4.26,2025-09-23 09:50:00-04:00,LONG,73.53,71.8,76.11,78.69,1.72,145,71.91,72.8,72.58,4,STOP,71.8,-250.85,-1.0,3,False,FPB_V3
IONQ,2025-09-25,-3.63,2025-09-25 10:00:00-04:00,SHORT,69.49,71.41,66.61,63.73,1.92,130,71.3,70.77,72.13,6,STOP,71.41,-249.6,-1.0,7,False,FPB_V3
IONQ,2025-10-13,4.87,2025-10-13 09:40:00-04:00,LONG,74.3,72.69,76.71,79.13,1.61,155,72.8,72.76,72.52,2,TARGET_R2,79.13,562.31,2.25,11,True,FPB_V3
IONQ,2025-10-23,10.2,2025-10-23 10:20:00-04:00,LONG,61.27,58.26,65.78,70.29,3.01,83,58.35,60.14,58.49,10,EOD,62.69,117.86,0.47,14,False,FPB_V3
IONQ,2025-10-27,4.44,2025-10-27 10:10:00-04:00,LONG,64.46,63.41,66.03,67.6,1.05,239,63.51,63.97,62.94,8,STOP,63.41,-250.95,-1.0,2,False,FPB_V3
IONQ,2025-10-29,3.01,2025-10-29 09:45:00-04:00,LONG,58.65,57.85,59.85,61.04,0.8,313,57.94,58.14,58.19,3,TRAIL_STOP,59.4,304.4,1.22,13,True,FPB_V3
IONQ,2025-11-04,-4.51,2025-11-04 09:55:00-05:00,SHORT,56.44,56.9,55.76,55.07,0.46,549,56.81,56.88,57.5,5,TRAIL_STOP,56.39,199.53,0.8,4,True,FPB_V3
IONQ,2025-11-06,3.41,2025-11-06 09:45:00-05:00,LONG,56.21,54.3,59.08,61.94,1.91,130,54.38,55.65,55.59,3,EOD,55.42,-103.34,-0.41,21,False,FPB_V3
IONQ,2025-11-07,-4.94,2025-11-07 10:20:00-05:00,SHORT,53.04,53.81,51.89,50.74,0.77,325,53.73,53.14,54.23,10,STOP,53.81,-250.25,-1.0,1,False,FPB_V3
